Timestamp,DRA0010_COATING_DIAMETER
="2022-12-01 17:09:19.548",4995.0
="2022-12-01 17:08:53.071",5000.0
="2022-12-01 17:08:28.053",5002.0
="2022-12-01 17:08:02.796",5002.0
="2022-12-01 17:07:37.776",4977.0
="2022-12-01 17:07:12.759",4962.0
="2022-12-01 17:06:48.963",4963.0
="2022-12-01 17:06:23.706",4964.0
="2022-12-01 17:05:58.449",4966.0
="2022-12-01 17:05:33.691",4964.0
="2022-12-01 17:05:08.684",4966.0
="2022-12-01 17:04:43.435",4964.0
="2022-12-01 17:04:18.189",4965.0
="2022-12-01 17:03:52.939",4962.0
="2022-12-01 17:03:27.933",4962.0
="2022-12-01 17:03:03.175",4962.0
="2022-12-01 17:02:37.927",4963.0
="2022-12-01 17:02:12.920",4963.0
="2022-12-01 17:01:47.422",4964.0
="2022-12-01 17:01:22.416",4963.0
="2022-12-01 17:00:56.929",4966.0
="2022-12-01 17:00:31.911",4971.0
="2022-12-01 17:00:07.893",4970.0
="2022-12-01 16:59:44.356",4973.0
="2022-12-01 16:59:20.567",4984.0
="2022-12-01 16:58:55.561",4990.0
="2022-12-01 16:58:30.302",4997.0
="2022-12-01 16:58:05.295",5005.0
="2022-12-01 16:57:39.799",5022.0
="2022-12-01 16:57:14.790",5031.0
="2022-12-01 16:56:50.272",5038.0
="2022-12-01 16:56:25.496",5038.0
="2022-12-01 16:56:00.487",5038.0
="2022-12-01 16:55:35.481",5038.0
="2022-12-01 16:55:09.982",5037.0
="2022-12-01 16:54:46.455",5038.0
="2022-12-01 16:54:20.469",5038.0
="2022-12-01 16:53:55.931",5038.0
="2022-12-01 16:53:30.922",5039.0
="2022-12-01 16:53:06.144",5039.0
="2022-12-01 16:52:41.619",5038.0
="2022-12-01 16:52:17.831",5037.0
="2022-12-01 16:51:52.813",5038.0
="2022-12-01 16:51:27.306",5038.0
="2022-12-01 16:51:02.297",5038.0
="2022-12-01 16:50:37.769",5038.0
="2022-12-01 16:50:12.753",5038.0
="2022-12-01 16:49:48.040",5038.0
="2022-12-01 16:49:19.527",5038.0
="2022-12-01 16:48:54.022",5038.0
="2022-12-01 16:48:28.524",5037.0
="2022-12-01 16:48:02.587",5038.0
="2022-12-01 16:47:37.669",5037.0
="2022-12-01 16:47:10.790",5037.0
="2022-12-01 16:46:45.133",5038.0
="2022-12-01 16:46:19.737",5038.0
="2022-12-01 16:45:55.549",5037.0
="2022-12-01 16:45:30.631",5038.0
="2022-12-01 16:45:05.964",5037.0
="2022-12-01 16:44:41.537",5038.0
="2022-12-01 16:44:16.879",5038.0
="2022-12-01 16:43:50.732",5038.0
="2022-12-01 16:43:25.355",5038.0
="2022-12-01 16:43:00.465",5038.0
="2022-12-01 16:42:35.088",5037.0
="2022-12-01 16:42:11.421",5039.0
="2022-12-01 16:41:46.044",5037.0
="2022-12-01 16:41:20.427",5038.0
="2022-12-01 16:40:54.559",5038.0
="2022-12-01 16:40:28.441",5038.0
="2022-12-01 16:40:04.294",5037.0
="2022-12-01 16:39:38.176",5038.0
="2022-12-01 16:39:14.019",5037.0
="2022-12-01 16:38:49.622",5038.0
="2022-12-01 16:38:23.753",5037.0
="2022-12-01 16:37:58.377",5037.0
="2022-12-01 16:37:33.979",5037.0
="2022-12-01 16:37:10.312",5038.0
="2022-12-01 16:36:44.444",5038.0
="2022-12-01 16:36:18.587",5038.0
="2022-12-01 16:35:53.459",5038.0
="2022-12-01 16:35:28.093",5037.0
="2022-12-01 16:35:03.215",5037.0
="2022-12-01 16:34:37.107",5038.0
="2022-12-01 16:34:12.230",5037.0
="2022-12-01 16:33:46.862",5038.0
="2022-12-01 16:33:21.494",5037.0
="2022-12-01 16:32:56.126",5037.0
="2022-12-01 16:32:31.240",5038.0
="2022-12-01 16:32:06.361",5038.0
="2022-12-01 16:31:40.015",5038.0
="2022-12-01 16:31:14.648",5038.0
="2022-12-01 16:30:49.759",5038.0
="2022-12-01 16:30:24.153",5037.0
="2022-12-01 16:29:59.995",5038.0
="2022-12-01 16:29:34.627",5038.0
="2022-12-01 16:29:10.000",5037.0
="2022-12-01 16:28:45.613",5038.0
="2022-12-01 16:28:20.726",5038.0
="2022-12-01 16:27:55.836",5037.0
="2022-12-01 16:27:29.980",5038.0
="2022-12-01 16:27:04.614",5038.0
="2022-12-01 16:26:40.225",5038.0
="2022-12-01 16:26:14.618",5038.0
="2022-12-01 16:25:49.751",5038.0
="2022-12-01 16:25:25.372",5038.0
="2022-12-01 16:24:59.545",5038.0
="2022-12-01 16:24:33.708",5037.0
="2022-12-01 16:24:08.840",5037.0
="2022-12-01 16:23:45.204",5037.0
="2022-12-01 16:23:21.555",5036.0
="2022-12-01 16:22:56.697",5037.0
="2022-12-01 16:22:30.370",5037.0
="2022-12-01 16:22:05.513",5037.0
="2022-12-01 16:20:32.722",5036.0
="2022-12-01 16:20:07.865",5038.0
="2022-12-01 16:19:43.978",5036.0
="2022-12-01 16:19:19.359",5037.0
="2022-12-01 16:18:53.532",5036.0
="2022-12-01 16:18:27.705",5037.0
="2022-12-01 16:18:03.818",5037.0
="2022-12-01 16:17:38.220",5037.0
="2022-12-01 16:17:13.593",5036.0
="2022-12-01 16:16:51.164",5038.0
="2022-12-01 16:16:28.018",5037.0
="2022-12-01 16:16:03.150",5037.0
="2022-12-01 16:15:39.022",5037.0
="2022-12-01 16:15:15.624",5037.0
="2022-12-01 16:14:51.016",5036.0
="2022-12-01 16:14:26.639",5038.0
="2022-12-01 16:14:01.652",5037.0
="2022-12-01 16:13:37.544",5036.0
="2022-12-01 16:13:12.928",5037.0
="2022-12-01 16:12:47.819",5037.0
="2022-12-01 16:12:22.452",5037.0
="2022-12-01 16:11:57.094",5037.0
="2022-12-01 16:11:32.957",5037.0
="2022-12-01 16:11:08.580",5037.0
="2022-12-01 16:10:44.462",5038.0
="2022-12-01 16:10:20.084",5037.0
="2022-12-01 16:09:54.988",5038.0
="2022-12-01 16:09:30.129",5037.0
="2022-12-01 16:09:05.763",5037.0
="2022-12-01 16:08:40.413",5037.0
="2022-12-01 16:08:15.557",5037.0
="2022-12-01 16:07:50.699",5038.0
="2022-12-01 16:07:26.573",5038.0
="2022-12-01 16:07:00.495",5038.0
="2022-12-01 16:06:35.637",5037.0
="2022-12-01 16:06:10.289",5038.0
="2022-12-01 16:05:44.463",5038.0
="2022-12-01 16:05:19.604",5038.0
